"Cód","Código de barras","Nome","Fornecedor","Fabricante","Preço Tabela","Replicação de preço","Custo","Resultado Financeiro","Markup","Estoque","Aliquota","Grupo linha","Sub grupo","Comissão Vendedor","Comissão Veterinário","CSOSN/CST","Status","Código de barras 2","Código de barras 3","Código de barras 4"
"8665","7890000008665","AL CAES PREMIER AD CAST A GRANEL kg","SEM FORNECEDOR CADASTRADO","NAO INFORMADO","R$ 0,00","Ativo","R$ 0,00","R$ 0,00","100,0%","0","Subst. Tributaria","GRANEL","NENHUM","0.00","0.00","60","Ativo","","",""
"8667","7890000008667","AL CAES PREMIER AD CAST A GRANEL kg","SEM FORNECEDOR CADASTRADO","NAO INFORMADO","R$ 0,00","Ativo","R$ 0,00","R$ 0,00","100,0%","0","Subst. Tributaria","GRANEL","NENHUM","0.00","0.00","60","Ativo","","",""
"182821","7897348205470","AL CAES PREMIER AD CAST AMB INT FRANGO 1KG","PET&PET","NAO INFORMADO","R$ 46,90","Ativo","R$ 30,72","R$ 16,18","52,7%","2","Subst. Tributaria","RACAO","PACOTE","0.00","0.00","60","Ativo","","",""
"83","7897348204688","AL CAES PREMIER AD CAST AMB INT FRANGO 2,5KG","01-OBOM Pet Agulhas Negras","NAO INFORMADO","R$ 100,90","Ativo","R$ 70,09","R$ 30,81","44,0%","2","Subst. Tributaria","RACAO","PACOTE","0.00","0.00","60","Ativo","","",""
"33","7897348204398","AL CAES PREMIER AD DUO CORD/PERU 12KG","PET&PET","NAO INFORMADO","R$ 220,90","Ativo","R$ 153,24","R$ 67,66","44,2%","0","Subst. Tributaria","RACAO","SACARIA","0.00","0.00","60","Ativo","","",""
"124602","7890000124607","AL CAES PREMIER AD FORM R GD GRANEL","OBOM PET E VETERINÁRIA LTDA - ILHA DE GUARATIBA","PREMIER PET","R$ 21,90","Ativo","R$ 10,95","R$ 10,95","100,0%","-2","Subst. Tributaria","RACAO","SACARIA","0.00","0.00","60","Ativo","","",""
"47","7897348202141","AL CAES PREMIER AD FORM R GDE 15KG","OBOM PET E VETERINÁRIA LTDA - ILHA DE GUARATIBA","PREMIER PET","R$ 269,90","Ativo","R$ 164,25","R$ 105,65","64,3%","1","Subst. Tributaria","RACAO","SACARIA","0.00","0.00","60","Ativo","","",""
"359871","7897348204664","AL CAES PREMIER AD FORM R GDE FRANGO 20KG","PET&PET","NAO INFORMADO","R$ 319,90","Ativo","R$ 217,35","R$ 102,55","47,2%","1","Subst. Tributaria","RACAO","SACARIA","0.00","0.00","60","Ativo","","",""
"7832","7890000007832","AL CAES PREMIER AD FORM R GDE FRANGO GRANEL","SEM FORNECEDOR CADASTRADO","NAO INFORMADO","R$ 12,99","Ativo","R$ 0,00","R$ 12,99","100,0%","0","Subst. Tributaria","GRANEL","NENHUM","0.00","0.00","60","Ativo","","",""
"10108","7890000010108","AL CAES PREMIER AD FORM R GRD CARNE GRANEL","SEM FORNECEDOR CADASTRADO","NAO INFORMADO","R$ 12,99","Ativo","R$ 12,60","R$ 0,39","3,1%","0","Subst. Tributaria","GRANEL","NENHUM","0.00","0.00","60","Ativo","","",""
"8833","7897348206408","AL CAES PREMIER AD FORM RACA GDE CARNE 15KG","PET&PET","PREMIER PET","R$ 269,90","Ativo","R$ 164,25","R$ 105,65","64,3%","2","Subst. Tributaria","RACAO","SACARIA","0.00","0.00","60","Ativo","","",""
"39","7897348200604","AL CAES PREMIER AD FORM RACA MED 15KG","PET&PET","PREMIER PET","R$ 269,90","Ativo","R$ 166,20","R$ 103,70","62,4%","1","Subst. Tributaria","RACAO","SACARIA","0.00","0.00","60","Ativo","","",""
"459366","7897348200833","AL CAES PREMIER AD FORM RACA MED 20KG","PET&PET","NAO INFORMADO","R$ 319,90","Ativo","R$ 217,33","R$ 102,57","47,2%","1","Subst. Tributaria","RACAO","SACARIA","0.00","0.00","60","Ativo","","",""
"59","7897348200994","AL CAES PREMIER AD FORM RACA PEQ 1KG","PET&PET","NAO INFORMADO","R$ 39,99","Ativo","R$ 26,42","R$ 13,57","51,4%","5","Subst. Tributaria","RACAO","PACOTE","0.00","0.00","60","Ativo","","",""
"61","7897348201007","AL CAES PREMIER AD FORM RACA PEQ 2,5KG","PET&PET","NAO INFORMADO","R$ 86,99","Ativo","R$ 56,83","R$ 30,16","53,1%","2","Subst. Tributaria","RACAO","PACOTE","0.00","0.00","60","Ativo","","",""
"746825","7890000746823","AL CAES PREMIER AD FORM RACA PEQ CARNE .GRANEL","PET&PET","NAO INFORMADO","R$ 0,00","Ativo","R$ 0,00","R$ 0,00","100,0%","0","Subst. Tributaria","GRANEL","ALIMENTOS CAES","0.00","0.00","60","Ativo","","",""
"37","7897348200949","AL CAES PREMIER AD FORM RACA PEQ FRANGO 15KG","PET&PET","NAO INFORMADO","R$ 279,90","Inativo","R$ 164,25","R$ 115,65","70,4%","5","Subst. Tributaria","RACAO","SACARIA","0.00","0.00","60","Ativo","","",""
"483967","7897348201069","AL CAES PREMIER AD FORM RACA PEQ FRANGO 20,0KG","01-OBOM Pet Agulhas Negras","NAO INFORMADO","R$ 319,90","Ativo","R$ 217,35","R$ 102,55","47,2%","1","Subst. Tributaria","RACAO","SACARIA","0.00","0.00","60","Ativo","","",""
"165764","7890000165761","AL CAES PREMIER AD FORM RACA PEQ FRANGO GRANEL","PET&PET","NAO INFORMADO","R$ 20,99","Ativo","R$ 12,56","R$ 8,43","67,1%","1.672","Subst. Tributaria","GRANEL","ALIMENTOS CAES","0.00","0.00","60","Ativo","","",""
"31","7897348203216","AL CAES PREMIER AD LIGHT AMB INT 12KG","PET&PET","PREMIER PET","R$ 245,99","Ativo","R$ 181,55","R$ 64,44","35,5%","2","Subst. Tributaria","RACAO","SACARIA","0.00","0.00","60","Ativo","","",""
"85","7897348202677","AL CAES PREMIER AD LIGHT AMB INT 2,5KG","PET&PET","NAO INFORMADO","R$ 100,90","Ativo","R$ 70,09","R$ 30,81","44,0%","2","Subst. Tributaria","RACAO","PACOTE","0.00","0.00","60","Ativo","","",""
